cloud_index,x_m,y_m,z_m,yaw_deg,range_descriptor,angle_descriptor,source_id,cloud_path
0,0.0387693214,-0.00139458918,0,-10.5939231,2.37349391;21.4096375;34.1566238;54.1265068;53.1927681;53.6204834;38.7891655;34.4216881;60.7771072;38.9216843;46.7530136;59.5722923;58.1987915;65.9337311;74.6807251;67.0120544;117.198792;43.3132553;29.9397564;21.3192749;24.2349396;30.096386;26.7349396;25.6566277;27.6746979;45.1566238;13.5361443;8.11445808;3.72289157;1.18072283;3.52409625;5.87951756;5.31927681;5.40361404;6.81325293;3.62048197;2.14457822;0;0.518072307;1.93373489,45.5602455;49.4397583;115.765068;100.331337;57.9879494;36.6084328;27.5481949;29.144577;13.855423;12.7289162;19.1686745;19.0722904;44.8614464;49.1144638;17.4337349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.981926;62.1686707;54.9879494;26.4216881;18.2048187;14.3012047;15.0542173;20.9879532;33.1506042;29.6325283;48.9096451;46.9518051;58.8795242;48.3855438;49.3373528,44,solid_clouds/keyframe_0.pcd
80,0.0438687822,0.00390449545,0,-10.657015,2.32748532;21.4795322;33.421051;55.4795303;55.1871338;50.16959;35.2865486;33.421051;57.1520462;42.7602386;48.0409355;51.8011665;54.087719;58.0058517;58.9064331;62.8245583;104.403519;39.4561386;25.251461;17.5204678;23.2982445;25.7777786;26.0467834;21.8362579;29.6257305;42.7134476;14.2631578;5.55555534;6.32748508;3.26900578;4.51461983;4.14035082;1.9649123;0.654970765;1.30994153;0.654970765;0;0.415204674;0;0,43.912281;46.8713455;86.3508759;97.2865524;50.5438576;38.7309914;28.087719;26.8070183;13.2690048;13.2865496;19.4912262;17.1286545;44.0058441;45.748539;16.4385967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.3157845;59.269001;50.2748528;26.5029221;13.415205;15.7251453;14.3216372;19.5438595;32.5730972;27.9824562;39.6549683;47.0818748;51.4795341;44.286541;43.9649086,44,solid_clouds/keyframe_1.pcd
160,0.0386019817,0.000957217541,0,-10.6269597,2.26315784;21.3099403;30.7660828;56.1052628;53.2222214;53.7134514;36.918129;34.087719;55.5497131;36.7017517;44.2514648;54.8011742;59.403511;61.9766083;66.9298248;64.4269028;107.959061;40.0292397;26.2631588;18.6432743;23.4327488;27.1578941;26.584795;25.5087719;29.1228065;45.4970779;13.8245621;9.67251396;5.40350866;2.9005847;4.64912271;8.15204716;4.53801155;5.19298267;5.02339172;4.15789461;2.71929812;1.87134504;0;0.497076035,45.5555458;48.7368355;110.953217;101.198837;52.1929779;37.1345024;28.2046795;26.5555573;11.1520462;15.742691;20.1111107;15.415205;42.4853783;49.9356728;13.9941521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.8713455;60.6432686;52.6783562;26.8654938;15.5087719;14.9415197;13.7602329;21.163744;31.5497055;27.9883041;42.5614014;48.2865524;55.1345062;46.538002;44.368412,44,solid_clouds/keyframe_2.pcd
240,0.0407797044,-0.00346470914,0,-10.5951837,2.38181829;21.4424229;32.4484863;51.7939415;53.678791;53.7515144;38.3090858;35.9151497;60.7030334;37.484848;47.8666649;58.7212105;56.8969727;64.5697021;69.1030273;65.272728;118.836357;47.484848;28.618185;23.0545464;25.6727276;28.5090904;27.0363617;26.8060608;32.1151505;45.830307;14.424242;7.72121239;4.9575758;3.30303049;5.66666698;6.0727272;6.28484869;4.4666667;7.34545469;4.78181839;1.0545454;1.26060605;0.9939394;1.0545454,47.066658;47.5030289;121.490921;106.272728;56.8666649;39.3696976;27.7818165;30.0909081;12.8242426;15.1030293;20.0969696;18.7212124;44.8302994;48.2060585;16.9818192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.8909073;65.1878738;53.6909065;29.5030308;14.5333328;13.9212112;16.3272724;19.1151505;30.7636337;28.4969711;45.030304;51.1212082;56.0242462;46.8545418;48.0242424,44,solid_clouds/keyframe_3.pcd
320,0.0429067139,-0.000103157747,0,-10.6196512,2.3431952;19.4615383;32.47929;56.5680466;51.3431969;53.8816566;36.7278099;34.6745567;57.053257;36.6982231;44.2899361;56.1775169;56.3431969;64.3313522;66.3017731;63.2070999;113.53846;40.8994102;26.1952667;19.343195;25.2189369;28.0946732;27.2899418;26.698225;31.0887585;46.449707;15.1893482;7.21893454;5.37869835;3.55029583;4.48520708;6.18934917;4.07692289;5.18343163;6.40828419;5.32544422;1.00591719;0.946745574;0.994082868;2.42011833,44.940834;48.6390572;114.248512;101.390533;58.2248535;37.094677;26.95858;26.6212997;11.3727818;13.7751484;20.7751503;16.6094685;44.1183395;48.2426071;16.0473385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.2544403;60.0887566;54.8579903;26.7278099;18.3195267;13.6686382;16.0355034;19.2366867;30.9408302;29.1360931;42.1597633;48.5147972;53.1420135;45.863903;47.0650978,44,solid_clouds/keyframe_4.pcd
400,0.0402860249,-0.00126994953,0,-10.6404888,2.39759016;23.2168674;33.2530136;50.7710838;54.2108421;52.8433723;39.6987953;34.596386;60.9578323;36.9096375;43.8192787;57.8734932;59.2710876;63.4758987;66.8192749;66.7530212;112.084335;46.1807213;26.1084328;22.8072281;24.0060234;28.096386;24.8795185;26.3012047;29.6626511;46.6807213;15.7831326;7.72891569;4.05421686;3.20481944;5.97590351;5.57228947;3.98795176;5.26506042;5.03012037;2.2048192;1.74698794;0.969879508;0;0,44.1204796;50.3012009;108.40963;104.349411;55.3674698;40.4096413;27.210844;30.7409649;11.7228909;15.7771091;19.8734932;17.4457817;46.1445847;51.1204796;17.240963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.6566238;63.469883;52.9518051;25.903614;18.0542164;14.1746979;16.8734951;18.5301208;28.4096375;26.451807;41.8975906;50.8433762;54.1506042;46.9638519;47.632534,44,solid_clouds/keyframe_5.pcd
480,0.0404545814,-0.00126712677,0,-10.6098664,2.43113756;20.143713;29.8682632;55.6047897;51.4131737;56.4371262;40.0658646;34.8922195;59.766468;37.8922157;44.4491043;54.7544899;58.8323364;62.0239487;65.3353271;67.5389099;112.910179;44.5329323;29.5029926;20.9940109;25.6287422;27.8862267;28.3233547;24.4371262;29.9461098;46.1257515;13.5389214;6.40119743;4.85029936;1.82634735;5.75449085;6.45508957;4.79640722;4.71257496;7.94610786;4.70059872;1.73053896;1.05389225;1.05389225;1.41317368,46.0958099;46.5509033;117.820366;99.8742371;60.3892212;37.7485008;28.9700603;28.4071846;11.7724552;14.7425156;19.3532925;20.1257496;44.8023987;48.7724533;16.9401207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.1976089;62.9221611;54.3233566;27.1497002;13.8922157;16.239521;14.0059881;19.2275448;30.1077824;28.1317368;44.203598;50.4610825;51.1676712;46.0778427;46.4970055,44,solid_clouds/keyframe_6.pcd
560,0.0391471639,-0.000626259039,0,-10.6212777,2.41566277;23.210844;31.1686745;53.8493958;52.1506042;52.22892;35.0722885;35.7891541;59.7048187;36.5903625;45.6084328;55.5963821;59.0662689;67.3192749;68.6144638;64.4457855;117.493973;47.2228928;26.7650604;25.240963;24.1265068;28.1084347;25.403616;27.6084328;30.4337349;46.9277077;14.9397602;9.63855457;4.21686745;1.87349391;5.07831335;7.82530117;3.99397588;4.33734941;7.60240936;5.00602436;1;1;1.45783138;1.2048192,46.9337349;51.1385574;116.740944;106.891556;55.9156647;43.1867447;27.4759064;29.2168674;13.6746969;14.5903606;20.289156;16.4096375;44.2951813;49.855423;19.1506023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.6265106;64.6566315;52.3072281;25.6204796;14.8614464;15.8614454;15.0060234;18.9277115;29.2650604;29.0662651;43.0361404;47.84338;53.9879494;46.8373489;46.6686707,44,solid_clouds/keyframe_7.pcd
640,0.0386148052,0.00186199481,0,-10.6021733,2.31976748;22.1686039;35.0523262;50.9069748;55.4593048;53.5639572;35.511631;36.7848816;56.418602;37.9244194;44.7441864;55.9244118;55.9186058;63.9127922;68.889534;64.918602;114.715118;44.558136;25.8430233;20;22.8081398;28.1046505;23.9883728;25.6162796;29.0406952;43.7034912;13.4534874;9.13372135;4.9127903;2.86046505;6.08720922;7.69767475;5.25581408;4.8139534;5.2848835;5.41860485;2.30232573;1.02325583;0.482558131;2.98255825,44.906971;49.6627922;117.912773;99.0523376;57.0348816;40.017437;25.5697727;29.7616272;12.5348835;15.8081388;19.4651184;15.7616291;44.6220894;49.9127884;16.6511631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.6046524;58.6337166;52.0290718;26.709301;19.0116272;12.6627903;15.0116282;21.5523262;32.9069748;27.6686077;37.680233;50.0348854;52.843029;49.6453476;45.8372078,44,solid_clouds/keyframe_8.pcd
720,0.0417037246,-0.0100115141,0,-10.5860303,2.37267065;18.9937897;31.5279503;56.2981377;54.5279503;49.6211166;39.2422371;38.7950287;61.6335373;38.6646004;48.1180191;59.7204971;60.8447151;63.8633537;65.3043442;63.037262;126.149071;45.2546577;30.7577648;26.6459618;27.1366463;27.6583862;25.4596272;30.0124226;35.173912;50.9937859;17.8322983;9.44099426;4.63975143;2.96273303;3.60869575;9.37267113;3.90683222;5.61490679;6.20496893;4.04968929;2.67701864;1.52173913;0;1.47204971,47.8136635;50.8695679;125.552795;107.223618;57.4844666;42.5217361;32.4472084;25.1366463;13.1677017;13.3229809;20.7515545;18.2111797;47.0062065;51.3105583;17.3416138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.6273308;65.627327;50.8819885;31.8819885;15.4906826;14.1552792;15.608695;21.6024837;35.7950287;33.1614914;40.1428566;48.9378853;53.8447227;52.9751549;47.2173882,44,solid_clouds/keyframe_9.pcd
