wall_time,ros_time,tf_map__odom_stamp,tf_map__odom_x,tf_map__odom_y,tf_map__odom_z,tf_map__odom_yaw,tf_odom__base_footprint_stamp,tf_odom__base_footprint_x,tf_odom__base_footprint_y,tf_odom__base_footprint_z,tf_odom__base_footprint_yaw,tf_map__base_footprint_stamp,tf_map__base_footprint_x,tf_map__base_footprint_y,tf_map__base_footprint_z,tf_map__base_footprint_yaw,tf_map_ground__base_footprint_stamp,tf_map_ground__base_footprint_x,tf_map_ground__base_footprint_y,tf_map_ground__base_footprint_z,tf_map_ground__base_footprint_yaw,tf_odom_ground__base_footprint_stamp,tf_odom_ground__base_footprint_x,tf_odom_ground__base_footprint_y,tf_odom_ground__base_footprint_z,tf_odom_ground__base_footprint_yaw,status_stamp,status_converged,status_error,status_inlier,status_rel_x,status_rel_y,status_rel_yaw,hdl_odom_stamp,hdl_odom_x,hdl_odom_y,hdl_odom_z,hdl_odom_yaw,hdl_odom_vx,hdl_odom_vy,hdl_odom_wz,fastlio_odom_stamp,fastlio_odom_x,fastlio_odom_y,fastlio_odom_z,fastlio_odom_yaw,fastlio_odom_vx,fastlio_odom_vy,fastlio_odom_wz,robot_realpose_stamp,robot_realpose_x,robot_realpose_y,robot_realpose_z,robot_realpose_yaw,cmd_vx,cmd_vy,cmd_wz,plan_n,plan_len,local_plan_n,local_plan_len,goal_x,goal_y,goal_yaw,topic_fast_lio_cloud_registered_count,topic_fast_lio_cloud_registered_hz,topic_fast_lio_cloud_registered_stamp,topic_fast_lio_cloud_registered_age,topic_airy_points_filtered_count,topic_airy_points_filtered_hz,topic_airy_points_filtered_stamp,topic_airy_points_filtered_age,topic_airy_points_count,topic_airy_points_hz,topic_airy_points_stamp,topic_airy_points_age,topic_imu_standard_count,topic_imu_standard_hz,topic_imu_standard_stamp,topic_imu_standard_age,topic_airy_imu_count,topic_airy_imu_hz,topic_airy_imu_stamp,topic_airy_imu_age
0.227953,1778662859.384373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,1,,1778662859.193908,0.004074811935424805,0,,nan,
0.427722,1778662859.584132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662859.5403485,0.03718914874127677,0.15928010736503317,-0.0005881867237009786,-0.0796217551566136,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,28,70.72919274209868,1778662859.5787458,0.000993967056274414,0,,nan,
0.627681,1778662859.784092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662859.7404447,0.04037181626759079,0.16129072454812565,0.0008323389352735688,-0.08212290965355058,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,68,205.6315627944647,1778662859.7793288,0.0014100074768066406,0,,nan,
0.827733,1778662859.984143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662859.940663,0.04388122586841803,0.16691558869362844,0.0004048860275833732,-0.08454962724603982,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,108,199.64757189219242,1778662859.979725,0.0006775856018066406,0,,nan,
1.027737,1778662860.184151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662860.1404262,0.04413424321053938,0.16596341760375388,0.00012515123277223594,-0.08229142131620074,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,148,199.82829542715086,1778662860.178907,0.0010654926300048828,0,,nan,
1.227808,1778662860.384224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662860.1404262,0.04413424321053938,0.16596341760375388,0.00012515123277223594,-0.08229142131620074,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,149,200.6801770680426,1778662860.1839058,0.0012216567993164062,0,,nan,
1.427752,1778662860.584165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778662860.5413535,0.04152824561696278,0.16535902491117582,0.0015740158616577293,-0.07975511904120422,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,178,99.97115967197345,1778662860.5789828,0.0015795230865478516,0,,nan,
1.627917,1778662860.784331,,,,,,1778662860.689898,19.15242934275591,11.4387790256185,-1.2196842798868337,2.8551248676348595,,,,,,,,,,,1778662860.689898,19.15242934275591,11.4387790256185,-0.00468427988683362,2.8551248676348595,,,,,,,,,,,,,,,,1778662860.6898263,11.383907627027796,0.005564090257733617,-19.086654767487815,3.0770140955883063,0.0,0.0,0.0,1778662860.7404556,0.044082065687469196,0.1560278474212371,-0.0013885768399404252,-0.08403692259826132,,,,,,,,,,,1,,1778662860.5764034,0.12450790405273438,0,,nan,,2,10.089713520054078,1778662860.6764643,0.10430407524108887,218,198.83268925186684,1778662860.779021,0.0025391578674316406,32,200.17369483321605,1778662860.779021,0.0026025772094726562
1.827958,1778662860.984383,,,,,,1778662860.896747,19.148917457461962,11.437549859329412,-1.2167258766890146,2.8555661488379473,,,,,,,,,,,1778662860.896747,19.148917457461962,11.437549859329412,-0.0017258766890144717,2.8555661488379473,,,,,,,,,,,,,,,,1778662860.8966503,11.38348445496076,0.0025328397576061088,-19.083823670371796,3.0778703221368797,0.0,0.0,0.0,1778662860.941651,0.04672916259090698,0.164381969947625,0.0019055665672431665,-0.08179034849124647,,,,,,,,,,,3,9.540520960215453,1778662860.7764792,0.13404273986816406,0,,nan,,4,10.038703089098801,1778662860.8767514,0.10375046730041504,258,199.03800524655387,1778662860.978711,0.0025634765625,72,198.3139336410428,1778662860.978711,0.0026252269744873047
2.029992,1778662861.186406,,,,,,1778662861.0902014,19.14025011483886,11.436298328560191,-1.2175907676263873,2.8558343536062276,,,,,,,,,,,1778662861.0902014,19.14025011483886,11.436298328560191,-0.0025907676263872137,2.8558343536062276,,,,,,,,,,,,,,,,1778662861.0901096,11.382067833661877,0.003312341874036494,-19.076910094508293,3.078175263763489,0.0,0.0,0.0,1778662861.1405194,0.033900005437701,0.15347878716384855,-0.0002755603728263889,-0.08128580551011771,,,,,,,,,,,5,9.803686868067109,1778662860.9765034,0.13238525390625,0,,nan,,6,9.927783803026594,1778662861.0764823,0.10880184173583984,297,201.07500695130253,1778662861.1737869,0.0010652542114257812,111,200.22589419635227,1778662861.1737869,0.0004608631134033203
