wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
3.212296,1778662862.368712,1778662861.776486,1,0.050839,0.950858,0.041824,0.160621,0.029672,-0.068465
3.212679,1778662862.369084,1778662861.876495,1,0.050979,0.950081,0.041930,0.162194,0.026732,-0.068990
3.212992,1778662862.369397,1778662861.976491,1,0.050922,0.951161,0.037520,0.162298,0.029834,-0.068085
3.213334,1778662862.369739,1778662862.076539,1,0.050456,0.951790,0.038803,0.161280,0.028607,-0.067851
3.213587,1778662862.369992,1778662862.176500,1,0.050314,0.951423,0.035309,0.162973,0.027526,-0.067855
3.295081,1778662862.451492,1778662862.280951,1,0.053764,0.948673,0.036558,0.159548,0.034027,-0.069032
3.380982,1778662862.537394,1778662862.376498,1,0.050539,0.951375,0.034056,0.163258,0.029173,-0.068108
3.502938,1778662862.659354,1778662862.476864,1,0.050468,0.951230,0.041130,0.162734,0.030268,-0.068335
3.602605,1778662862.759017,1778662862.576537,1,0.050377,0.951215,0.050973,0.166246,0.028957,-0.068998
3.706709,1778662862.863120,1778662862.676504,1,0.049896,0.952701,0.048539,0.162480,0.031065,-0.068389
3.779867,1778662862.936278,1778662862.776843,1,0.050516,0.951186,0.046024,0.160310,0.030996,-0.067752
3.898871,1778662863.055286,1778662862.876913,1,0.050911,0.951666,0.041652,0.165898,0.030396,-0.068178
3.983679,1778662863.140091,1778662862.976748,1,0.050082,0.952282,0.043274,0.165063,0.029517,-0.068083
4.091169,1778662863.247581,1778662863.076746,1,0.050851,0.950312,0.045456,0.168082,0.029036,-0.068256
4.201725,1778662863.358139,1778662863.176522,1,0.049763,0.952220,0.042946,0.167795,0.025329,-0.069136
4.299222,1778662863.455634,1778662863.281003,1,0.053084,0.948600,0.041012,0.162189,0.035117,-0.068277
4.387164,1778662863.543576,1778662863.376961,1,0.050667,0.950953,0.043238,0.163401,0.030726,-0.068348
4.498670,1778662863.655091,1778662863.476564,1,0.051101,0.951609,0.043177,0.164744,0.029826,-0.068112
4.582801,1778662863.739210,1778662863.576535,1,0.050464,0.951445,0.044452,0.164363,0.028438,-0.068953
4.683196,1778662863.839608,1778662863.676550,1,0.050496,0.951358,0.043038,0.164689,0.031019,-0.068671
4.801240,1778662863.957654,1778662863.776641,1,0.049544,0.953125,0.046839,0.168324,0.030585,-0.068715
4.895932,1778662864.052343,1778662863.876561,1,0.050187,0.951143,0.045439,0.166003,0.029361,-0.067801
4.999116,1778662864.155528,1778662863.976557,1,0.051108,0.950391,0.044319,0.165256,0.027588,-0.068956
5.094857,1778662864.251271,1778662864.076545,1,0.050938,0.950871,0.042825,0.161126,0.028043,-0.068090
5.203200,1778662864.359616,1778662864.176532,1,0.050823,0.951045,0.042217,0.163346,0.030994,-0.068462
5.304853,1778662864.461265,1778662864.281176,1,0.053487,0.948870,0.042168,0.156737,0.033079,-0.067536
5.390345,1778662864.546757,1778662864.376548,1,0.050968,0.950255,0.041154,0.165468,0.029196,-0.068562
5.487226,1778662864.643642,1778662864.476592,1,0.051143,0.949870,0.047757,0.166662,0.031032,-0.068806
5.585136,1778662864.741550,1778662864.576557,1,0.050066,0.951341,0.045241,0.156404,0.027962,-0.068677
5.704764,1778662864.861180,1778662864.676533,1,0.050606,0.951548,0.041195,0.158629,0.027518,-0.067595
5.786048,1778662864.942457,1778662864.776558,1,0.050069,0.950218,0.039406,0.160013,0.028927,-0.068591
5.903880,1778662865.060292,1778662864.876570,1,0.050220,0.950675,0.034042,0.156265,0.027749,-0.067904
5.987311,1778662865.143730,1778662864.976507,1,0.050265,0.951194,0.035502,0.161096,0.028621,-0.068672
6.090688,1778662865.247099,1778662865.076971,1,0.051094,0.950314,0.038354,0.157981,0.029637,-0.067872
6.215479,1778662865.371896,1778662865.176550,1,0.050709,0.951499,0.040482,0.158219,0.026656,-0.068607
6.313550,1778662865.469967,1778662865.281036,1,0.053900,0.946824,0.039901,0.156500,0.033419,-0.068346
6.385544,1778662865.541957,1778662865.376563,1,0.050946,0.950606,0.043171,0.165556,0.026219,-0.068885
6.493876,1778662865.650287,1778662865.476700,1,0.050489,0.952001,0.040802,0.168309,0.025620,-0.068858
6.612507,1778662865.768917,1778662865.576646,1,0.049822,0.952291,0.037299,0.159282,0.030503,-0.068037
6.703628,1778662865.860056,1778662865.676578,1,0.050013,0.951284,0.040785,0.162653,0.026550,-0.068549
6.787286,1778662865.943703,1778662865.776567,1,0.050500,0.951519,0.040537,0.163411,0.029378,-0.068595
6.907802,1778662866.064213,1778662865.876814,1,0.050586,0.949639,0.039908,0.162399,0.029080,-0.068597
6.986725,1778662866.143136,1778662865.976572,1,0.049993,0.951735,0.041375,0.165424,0.029914,-0.068002
7.092985,1778662866.249399,1778662866.076741,1,0.050385,0.951831,0.039846,0.158693,0.028688,-0.068573
7.199244,1778662866.355656,1778662866.176593,1,0.050971,0.951075,0.042402,0.160692,0.030579,-0.068020
7.296515,1778662866.452925,1778662866.281062,1,0.053770,0.947812,0.043411,0.158839,0.031477,-0.068188
