wall_time,ros_time,tf_map__odom_stamp,tf_map__odom_x,tf_map__odom_y,tf_map__odom_z,tf_map__odom_yaw,tf_odom__base_footprint_stamp,tf_odom__base_footprint_x,tf_odom__base_footprint_y,tf_odom__base_footprint_z,tf_odom__base_footprint_yaw,tf_map__base_footprint_stamp,tf_map__base_footprint_x,tf_map__base_footprint_y,tf_map__base_footprint_z,tf_map__base_footprint_yaw,tf_map_ground__base_footprint_stamp,tf_map_ground__base_footprint_x,tf_map_ground__base_footprint_y,tf_map_ground__base_footprint_z,tf_map_ground__base_footprint_yaw,tf_odom_ground__base_footprint_stamp,tf_odom_ground__base_footprint_x,tf_odom_ground__base_footprint_y,tf_odom_ground__base_footprint_z,tf_odom_ground__base_footprint_yaw,status_stamp,status_converged,status_error,status_inlier,status_rel_x,status_rel_y,status_rel_yaw,hdl_odom_stamp,hdl_odom_x,hdl_odom_y,hdl_odom_z,hdl_odom_yaw,hdl_odom_vx,hdl_odom_vy,hdl_odom_wz,fastlio_odom_stamp,fastlio_odom_x,fastlio_odom_y,fastlio_odom_z,fastlio_odom_yaw,fastlio_odom_vx,fastlio_odom_vy,fastlio_odom_wz,robot_realpose_stamp,robot_realpose_x,robot_realpose_y,robot_realpose_z,robot_realpose_yaw,cmd_vx,cmd_vy,cmd_wz,plan_n,plan_len,local_plan_n,local_plan_len,goal_x,goal_y,goal_yaw,topic_fast_lio_cloud_registered_count,topic_fast_lio_cloud_registered_hz,topic_fast_lio_cloud_registered_stamp,topic_fast_lio_cloud_registered_age,topic_airy_points_filtered_count,topic_airy_points_filtered_hz,topic_airy_points_filtered_stamp,topic_airy_points_filtered_age,topic_airy_points_count,topic_airy_points_hz,topic_airy_points_stamp,topic_airy_points_age,topic_imu_standard_count,topic_imu_standard_hz,topic_imu_standard_stamp,topic_imu_standard_age,topic_airy_imu_count,topic_airy_imu_hz,topic_airy_imu_stamp,topic_airy_imu_age
0.246439,1778663556.587310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,0,,nan,,0,,nan,
0.446502,1778663556.787373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,0,,nan,,0,,nan,
0.646398,1778663556.987267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,0,,nan,,0,,nan,
0.846448,1778663557.187317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,0,,nan,,0,,nan,
1.046442,1778663557.387314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,nan,,0,,nan,,0,,nan,,0,,nan,,0,,nan,
1.246364,1778663557.587232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778663557.5185928,0.0073484660961314245,0.013461332659187003,0.00243531107830584,0.0012037027702457843,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,,1778663557.3900425,0.1394059658050537,3,10.583925912841606,1778663557.5297182,0.050591468811035156,1,,1778663557.3900425,0.1047215461730957,0,,nan,,21,200.57499736985565,1778663557.5822089,0.000362396240234375
1.446946,1778663557.787860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778663557.7094371,0.00828921705303415,0.013407927913679795,0.001863135416953188,0.0011314578403795715,0.0,0.0,0.0,,,,,,,,,,,,,,,,3,10.655272059374575,1778663557.5899725,0.12722134590148926,5,10.58399935905079,1778663557.7187884,0.050482749938964844,3,10.050943615513372,1778663557.5899725,0.10377120971679688,0,,nan,,61,201.85846483181606,1778663557.782506,0.0004820823669433594
1.646269,1778663557.987132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778663557.9112647,0.007682493721553601,0.013934202366978782,0.0014799644853590508,0.0012025341697649101,0.0,0.0,0.0,,,,,,,,,,,,,,,,5,10.23176912127573,1778663557.7899635,0.13047385215759277,7,10.426221928528962,1778663557.9149,0.051918983459472656,5,10.027299340048794,1778663557.7899635,0.10372090339660645,0,,nan,,101,200.3439131199034,1778663557.982224,0.00037217140197753906
1.846295,1778663558.187161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778663558.110666,0.007981568447776054,0.01301701352888032,0.0019660357422115284,0.001050319652321312,0.0,0.0,0.0,,,,,,,,,,,,,,,,7,10.179612398616767,1778663557.9905884,0.12831997871398926,8,10.145245698051022,1778663558.0298872,0.05142951011657715,7,10.021493438356792,1778663557.9905884,0.10287714004516602,0,,nan,,141,200.234305852204,1778663558.182747,0.0003371238708496094
2.046587,1778663558.387451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778663558.313535,0.008511574556084346,0.012776122975286092,0.0018994758199908674,0.0011742395267031003,0.0,0.0,0.0,,,,,,,,,,,,,,,,9,10.10383807809732,1778663558.1899886,0.13124489784240723,11,10.134471353105155,1778663558.3275506,0.05053353309631348,9,9.936036367900448,1778663558.1899886,0.10993194580078125,5,176.57625192076958,1778663558.3822806,0.0032188892364501953,181,198.23969856893976,1778663558.3822806,0.001447439193725586
