wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
14.333394,1778663570.674260,1778663570.490788,1,0.047430,0.954255,-0.163639,-0.049808,0.017389,-0.032978
14.432622,1778663570.773487,1778663570.590226,1,0.048417,0.953005,-0.164636,-0.044205,0.019793,-0.032948
14.522343,1778663570.863214,1778663570.690289,1,0.048492,0.953411,-0.164923,-0.045086,0.020882,-0.032610
14.670842,1778663571.011712,1778663570.790236,1,0.047942,0.953576,-0.164117,-0.043339,0.019125,-0.032964
14.722702,1778663571.063566,1778663570.890266,1,0.048245,0.954277,-0.162827,-0.043186,0.019274,-0.032496
14.837285,1778663571.178150,1778663570.990269,1,0.048424,0.953459,-0.163372,-0.043516,0.019951,-0.033000
14.921006,1778663571.261872,1778663571.090883,1,0.049197,0.952821,-0.163444,-0.043087,0.018676,-0.032760
15.037986,1778663571.378860,1778663571.190246,1,0.047993,0.953670,-0.163635,-0.043740,0.020221,-0.032917
15.117391,1778663571.458256,1778663571.295072,1,0.049841,0.952671,-0.164826,-0.044311,0.023979,-0.032501
15.223987,1778663571.564852,1778663571.390273,1,0.048297,0.954063,-0.165663,-0.042546,0.019023,-0.032973
15.356717,1778663571.697628,1778663571.490897,1,0.048047,0.953796,-0.164917,-0.044932,0.019870,-0.032677
15.422779,1778663571.763648,1778663571.590346,1,0.048609,0.953887,-0.165015,-0.043728,0.020783,-0.032657
15.519077,1778663571.859946,1778663571.690755,1,0.049131,0.952878,-0.162831,-0.043187,0.018557,-0.032807
15.629623,1778663571.970489,1778663571.790321,1,0.048048,0.953840,-0.164292,-0.043766,0.018376,-0.032721
15.741220,1778663572.082102,1778663571.890347,1,0.048317,0.953346,-0.163295,-0.040848,0.020531,-0.032992
15.825943,1778663572.166808,1778663571.990437,1,0.048304,0.953121,-0.163921,-0.043895,0.018828,-0.032638
15.921566,1778663572.262431,1778663572.090285,1,0.047830,0.954444,-0.163910,-0.043437,0.018492,-0.032638
16.048206,1778663572.389069,1778663572.191163,1,0.048177,0.954110,-0.164180,-0.044075,0.020675,-0.032424
16.122191,1778663572.463055,1778663572.294728,1,0.050984,0.950661,-0.164717,-0.041958,0.024260,-0.033031
16.229681,1778663572.570547,1778663572.390276,1,0.048749,0.953516,-0.163829,-0.044181,0.019332,-0.032607
16.334783,1778663572.675654,1778663572.490250,1,0.048915,0.953320,-0.162554,-0.044188,0.020149,-0.032656
16.415691,1778663572.756568,1778663572.590308,1,0.048840,0.953188,-0.163132,-0.042771,0.019395,-0.032882
16.522076,1778663572.862942,1778663572.690282,1,0.047924,0.954034,-0.163486,-0.044549,0.018296,-0.032910
16.627996,1778663572.968862,1778663572.790462,1,0.048218,0.953897,-0.163261,-0.044586,0.018691,-0.032999
16.745597,1778663573.086464,1778663572.890526,1,0.048418,0.954023,-0.164219,-0.044083,0.019738,-0.032727
16.820116,1778663573.160979,1778663572.990287,1,0.047593,0.954651,-0.163887,-0.043453,0.019550,-0.032717
16.918973,1778663573.259845,1778663573.090284,1,0.047686,0.954933,-0.163897,-0.043698,0.019821,-0.032780
17.046216,1778663573.387083,1778663573.190280,1,0.047902,0.954336,-0.164571,-0.043401,0.019405,-0.032687
17.117464,1778663573.458328,1778663573.294909,1,0.051075,0.950830,-0.163715,-0.043140,0.024092,-0.032955
17.236309,1778663573.577184,1778663573.390376,1,0.048224,0.953681,-0.162370,-0.044197,0.018044,-0.032803
17.324765,1778663573.665644,1778663573.490194,1,0.048227,0.952994,-0.164280,-0.042992,0.019639,-0.032837
17.421366,1778663573.762239,1778663573.590286,1,0.047908,0.953912,-0.163375,-0.043050,0.019839,-0.032793
17.533819,1778663573.874682,1778663573.690391,1,0.047613,0.954387,-0.164098,-0.043514,0.020669,-0.032731
17.630854,1778663573.971765,1778663573.790342,1,0.048026,0.953522,-0.164033,-0.042814,0.019815,-0.032711
17.723905,1778663574.064772,1778663573.890393,1,0.048157,0.953693,-0.164491,-0.045425,0.019606,-0.032793
17.818699,1778663574.159564,1778663573.990294,1,0.047416,0.954689,-0.163417,-0.043523,0.019413,-0.032835
17.952463,1778663574.293334,1778663574.090296,1,0.047970,0.954905,-0.163984,-0.043191,0.020567,-0.032620
18.020840,1778663574.361706,1778663574.190988,1,0.048278,0.953312,-0.163820,-0.043778,0.019032,-0.032605
18.129068,1778663574.469934,1778663574.295074,1,0.051812,0.950082,-0.164471,-0.042609,0.023555,-0.032760
18.241785,1778663574.582651,1778663574.390409,1,0.048752,0.952831,-0.164582,-0.044726,0.019009,-0.032626
18.354976,1778663574.695841,1778663574.490541,1,0.047741,0.954611,-0.164563,-0.043421,0.021010,-0.032622
18.422365,1778663574.763232,1778663574.590487,1,0.048226,0.953918,-0.163309,-0.043048,0.018836,-0.032763
18.522796,1778663574.863671,1778663574.690315,1,0.047453,0.954802,-0.163892,-0.043575,0.019273,-0.032860
18.615891,1778663574.956757,1778663574.790309,1,0.048035,0.954246,-0.162392,-0.042546,0.018409,-0.032882
18.728072,1778663575.068939,1778663574.890329,1,0.047989,0.954157,-0.165274,-0.042853,0.019961,-0.032407
18.827223,1778663575.168091,1778663574.990324,1,0.048403,0.954029,-0.164417,-0.044179,0.019702,-0.032606
18.923563,1778663575.264437,1778663575.090299,1,0.047799,0.954096,-0.163204,-0.043423,0.018650,-0.032892
19.022624,1778663575.363488,1778663575.190404,1,0.048102,0.953870,-0.165072,-0.043755,0.020231,-0.032461
19.151991,1778663575.492903,1778663575.294851,1,0.050060,0.951943,-0.164659,-0.042176,0.024436,-0.032527
19.223646,1778663575.564535,1778663575.390309,1,0.047771,0.954309,-0.163293,-0.042589,0.019710,-0.032648
19.329812,1778663575.670691,1778663575.490353,1,0.047815,0.953668,-0.165339,-0.043700,0.019884,-0.032257
19.423045,1778663575.763911,1778663575.590442,1,0.048147,0.954073,-0.162561,-0.043423,0.019159,-0.032632
19.527598,1778663575.868462,1778663575.690391,1,0.047759,0.954731,-0.162744,-0.045195,0.019194,-0.032519
19.624016,1778663575.964882,1778663575.790378,1,0.049013,0.953081,-0.161157,-0.042660,0.018007,-0.032762
19.734953,1778663576.075824,1778663575.890774,1,0.048717,0.953662,-0.163629,-0.041704,0.021127,-0.032680
19.820395,1778663576.161270,1778663575.990347,1,0.047967,0.954018,-0.164737,-0.043306,0.019349,-0.032546
19.927150,1778663576.268019,1778663576.090749,1,0.048351,0.953518,-0.164653,-0.043067,0.018732,-0.032534
20.018559,1778663576.359429,1778663576.190450,1,0.047643,0.954518,-0.163117,-0.043704,0.019544,-0.032321
20.111276,1778663576.452139,1778663576.294803,1,0.051525,0.950935,-0.163230,-0.043514,0.025281,-0.032417
20.233744,1778663576.574611,1778663576.390397,1,0.048385,0.954235,-0.163317,-0.043128,0.020625,-0.032417
20.331910,1778663576.672781,1778663576.490336,1,0.046953,0.955782,-0.164725,-0.041811,0.019517,-0.032163
20.424733,1778663576.765603,1778663576.590332,1,0.047366,0.953958,-0.163646,-0.043970,0.020002,-0.032315
20.526596,1778663576.867462,1778663576.690422,1,0.047694,0.955024,-0.164410,-0.042492,0.019205,-0.032298
20.624567,1778663576.965436,1778663576.790360,1,0.048494,0.953621,-0.162557,-0.044530,0.020149,-0.032533
20.722911,1778663577.063773,1778663576.890347,1,0.048103,0.954031,-0.162107,-0.041864,0.019752,-0.032490
20.823853,1778663577.164726,1778663576.990769,1,0.049164,0.952771,-0.162557,-0.044025,0.019597,-0.032735
20.941030,1778663577.281902,1778663577.090405,1,0.047791,0.954835,-0.162788,-0.042641,0.019360,-0.032609
