wall_time,stamp,accepted,keyframe_id,sc_distance,gicp_fitness,best_x,best_y,best_z,best_yaw_deg,odom_x,odom_y,odom_z,odom_yaw_deg,error_xy,error_z,error_yaw_deg,cloud_frame_mode,raw_json
1779713687.943433,1779710000.0,False,9,0.00176937,0.00718399,-0.000250173,-0.00594113,0.0286577,0.128494,0.012486,-0.006966,0.003945,-0.039,0.012778,0.024713,0.168,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":1,""accepted"":false,""gicp_fitness"":0.00718399,""best_pose"":{""x"":-0.000250173,""y"":-0.00594113,""z"":0.0286577,""yaw_deg"":0.128494},""candidates"":[{""keyframe_id"":9,""distance"":0.00176937,""yaw_deg"":0,""x"":0.0145832,""y"":-0.00828157},{""keyframe_id"":2,""distance"":0.00201755,""yaw_deg"":0,""x"":0.0100891,""y"":-0.00900525},{""keyframe_id"":5,""distance"":0.00207641,""yaw_deg"":0,""x"":0.00907222,""y"":-0.00809679},{""keyframe_id"":22,""distance"":0.00212526,""yaw_deg"":0,""x"":0.0151679,""y"":-0.00693854},{""keyframe_id"":21,""distance"":0.00219201,""yaw_deg"":0,""x"":0.0139478,""y"":-0.00825485}]}"
1779713689.914158,1779710000.0,False,20,0.00337598,0.007449,-0.00229969,-0.00517073,0.0338396,0.184221,0.010373,-0.006788,0.001643,0.066,0.012775,0.032197,0.118,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0.007449,""best_pose"":{""x"":-0.00229969,""y"":-0.00517073,""z"":0.0338396,""yaw_deg"":0.184221},""candidates"":[{""keyframe_id"":20,""distance"":0.00337598,""yaw_deg"":0,""x"":0.0145345,""y"":-0.00833164},{""keyframe_id"":8,""distance"":0.0036467,""yaw_deg"":0,""x"":0.0117691,""y"":-0.00812607},{""keyframe_id"":6,""distance"":0.004713,""yaw_deg"":0,""x"":0.00979593,""y"":-0.00925526},{""keyframe_id"":16,""distance"":0.00595426,""yaw_deg"":0,""x"":0.0106476,""y"":-0.0101129},{""keyframe_id"":12,""distance"":0.00636928,""yaw_deg"":0,""x"":0.0101076,""y"":-0.00973849}]}"
1779713691.983698,1779710000.0,True,2,0.00255973,0.00815034,0.00931282,-0.00652556,0.029865,0.460805,0.042429,-0.006063,-0.145227,0.479,0.033119,0.175092,0.019,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":0,""accepted"":true,""gicp_fitness"":0.00815034,""best_pose"":{""x"":0.00931282,""y"":-0.00652556,""z"":0.029865,""yaw_deg"":0.460805},""candidates"":[{""keyframe_id"":2,""distance"":0.00255973,""yaw_deg"":0,""x"":0.0100891,""y"":-0.00900525},{""keyframe_id"":5,""distance"":0.00307868,""yaw_deg"":0,""x"":0.00907222,""y"":-0.00809679},{""keyframe_id"":14,""distance"":0.00355152,""yaw_deg"":0,""x"":0.0077336,""y"":-0.0119195},{""keyframe_id"":13,""distance"":0.00355302,""yaw_deg"":0,""x"":0.00890258,""y"":-0.0115173},{""keyframe_id"":18,""distance"":0.00378919,""yaw_deg"":0,""x"":0.0130152,""y"":-0.00972606}]}"
1779713694.023005,1779710000.0,False,25,0.00257782,0.0107756,0.0740421,-0.00674139,-0.181325,0.431835,0.179700,-0.012042,-0.428274,2.115,0.105790,0.246949,1.683,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":1,""accepted"":false,""gicp_fitness"":0.0107756,""best_pose"":{""x"":0.0740421,""y"":-0.00674139,""z"":-0.181325,""yaw_deg"":0.431835},""candidates"":[{""keyframe_id"":25,""distance"":0.00257782,""yaw_deg"":0,""x"":0.0743368,""y"":-0.00741974},{""keyframe_id"":55,""distance"":0.0222037,""yaw_deg"":0,""x"":0.41815,""y"":-0.0214308},{""keyframe_id"":3,""distance"":0.0298103,""yaw_deg"":0,""x"":0.00973326,""y"":-0.0087495},{""keyframe_id"":15,""distance"":0.0301749,""yaw_deg"":0,""x"":0.0114267,""y"":-0.00975786},{""keyframe_id"":7,""distance"":0.0302351,""yaw_deg"":0,""x"":0.0117029,""y"":-0.00829801}]}"
1779713694.697376,1779710000.0,False,47,0,0,-0.540744,-0.00661233,0.14432,177.843,0.172121,-0.013036,-0.508740,5.679,0.712894,0.653060,172.164,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":1,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.540744,""y"":-0.00661233,""z"":0.14432,""yaw_deg"":177.843},""candidates"":[{""keyframe_id"":47,""distance"":0,""yaw_deg"":120,""x"":-0.540744,""y"":-0.00661233},{""keyframe_id"":667,""distance"":0,""yaw_deg"":120,""x"":12.0954,""y"":-0.0490519},{""keyframe_id"":49,""distance"":0,""yaw_deg"":128,""x"":-0.314264,""y"":-0.00525821},{""keyframe_id"":55,""distance"":0.015896,""yaw_deg"":148,""x"":0.41815,""y"":-0.0214308},{""keyframe_id"":29,""distance"":0.0177888,""yaw_deg"":0,""x"":0.153706,""y"":-0.00476706}]}"
1779713696.736832,1779710000.0,False,48,0,0,-0.439793,-0.0121921,0.138199,177.523,-0.070403,-0.017883,-0.843774,172.675,0.369433,0.981973,4.848,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":1,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.439793,""y"":-0.0121921,""z"":0.138199,""yaw_deg"":177.523},""candidates"":[{""keyframe_id"":48,""distance"":0,""yaw_deg"":116,""x"":-0.439793,""y"":-0.0121921},{""keyframe_id"":667,""distance"":0,""yaw_deg"":96,""x"":12.0954,""y"":-0.0490519},{""keyframe_id"":44,""distance"":0,""yaw_deg"":88,""x"":-0.884486,""y"":0.0274471},{""keyframe_id"":570,""distance"":0,""yaw_deg"":88,""x"":14.602,""y"":-0.0537869},{""keyframe_id"":329,""distance"":0,""yaw_deg"":88,""x"":5.85786,""y"":0.0847668}]}"
1779713698.734583,1779710000.0,False,664,9.95398e-06,0,13.9978,-0.04887,-6.42909,-1.15497,-0.455846,0.002545,-0.806408,176.704,14.453737,5.622682,177.859,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":1,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":13.9978,""y"":-0.04887,""z"":-6.42909,""yaw_deg"":-1.15497},""candidates"":[{""keyframe_id"":664,""distance"":9.95398e-06,""yaw_deg"":148,""x"":13.9978,""y"":-0.04887},{""keyframe_id"":173,""distance"":3.79384e-05,""yaw_deg"":152,""x"":-0.108394,""y"":-0.0738823},{""keyframe_id"":199,""distance"":0.000163496,""yaw_deg"":148,""x"":-1.24912,""y"":-0.024416},{""keyframe_id"":37,""distance"":0.001441,""yaw_deg"":148,""x"":-0.756658,""y"":0.0305821},{""keyframe_id"":33,""distance"":0.0028064,""yaw_deg"":152,""x"":-0.3235,""y"":-0.00954864}]}"
1779713702.252580,1779710000.0,False,72,0.00794162,0.0112775,-0.740694,0.0419405,-0.708409,177.594,-0.835012,0.033652,-0.546586,178.026,0.094682,0.161823,0.432,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0.0112775,""best_pose"":{""x"":-0.740694,""y"":0.0419405,""z"":-0.708409,""yaw_deg"":177.594},""candidates"":[{""keyframe_id"":72,""distance"":0.00794162,""yaw_deg"":240,""x"":-0.958665,""y"":-0.00309506},{""keyframe_id"":71,""distance"":0.015224,""yaw_deg"":240,""x"":-0.792984,""y"":0.00305737},{""keyframe_id"":44,""distance"":0.0166704,""yaw_deg"":160,""x"":-0.884486,""y"":0.0274471},{""keyframe_id"":36,""distance"":0.0245857,""yaw_deg"":0,""x"":-0.670008,""y"":0.0201061},{""keyframe_id"":37,""distance"":0.0255267,""yaw_deg"":0,""x"":-0.756658,""y"":0.0305821}]}"
1779713702.715068,1779710000.0,False,74,0,0,-1.4676,0.0102381,-0.320735,-3.85988,-0.852118,0.039026,-0.510154,177.567,0.616154,0.189419,178.573,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-1.4676,""y"":0.0102381,""z"":-0.320735,""yaw_deg"":-3.85988},""candidates"":[{""keyframe_id"":74,""distance"":0,""yaw_deg"":144,""x"":-1.4676,""y"":0.0102381},{""keyframe_id"":32,""distance"":0.000918329,""yaw_deg"":140,""x"":-0.20539,""y"":-0.0186848},{""keyframe_id"":327,""distance"":0.0019804,""yaw_deg"":156,""x"":6.12987,""y"":0.109082},{""keyframe_id"":41,""distance"":0.00245732,""yaw_deg"":140,""x"":-0.900427,""y"":0.0297222},{""keyframe_id"":39,""distance"":0.0072475,""yaw_deg"":0,""x"":-0.829275,""y"":0.0315183}]}"
1779713704.734875,1779710000.0,False,707,0,0,0.388354,-0.0501602,0.392725,-2.61332,-0.907418,0.025771,-0.210620,177.836,1.297995,0.603345,179.551,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":0.388354,""y"":-0.0501602,""z"":0.392725,""yaw_deg"":-2.61332},""candidates"":[{""keyframe_id"":707,""distance"":0,""yaw_deg"":148,""x"":0.388354,""y"":-0.0501602},{""keyframe_id"":706,""distance"":0,""yaw_deg"":148,""x"":1.36235,""y"":-0.0682602},{""keyframe_id"":74,""distance"":0,""yaw_deg"":148,""x"":-1.4676,""y"":0.0102381},{""keyframe_id"":363,""distance"":0,""yaw_deg"":148,""x"":12.0031,""y"":-0.0665849},{""keyframe_id"":42,""distance"":0.00204108,""yaw_deg"":0,""x"":-0.91774,""y"":0.0257068}]}"
1779713706.735489,1779710000.0,False,709,0,0,-0.291943,-0.0262185,0.416026,-6.3043,-0.783648,0.013772,0.033047,23.021,0.493328,0.382979,29.325,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.291943,""y"":-0.0262185,""z"":0.416026,""yaw_deg"":-6.3043},""candidates"":[{""keyframe_id"":709,""distance"":0,""yaw_deg"":148,""x"":-0.291943,""y"":-0.0262185},{""keyframe_id"":707,""distance"":0,""yaw_deg"":148,""x"":0.388354,""y"":-0.0501602},{""keyframe_id"":31,""distance"":0,""yaw_deg"":148,""x"":-0.0522957,""y"":-0.0178208},{""keyframe_id"":708,""distance"":0,""yaw_deg"":148,""x"":-0.184192,""y"":-0.043464},{""keyframe_id"":338,""distance"":0,""yaw_deg"":148,""x"":7.0479,""y"":0.0259613}]}"
1779713708.734075,1779710000.0,False,335,0,0,6.28512,0.0561299,-6.29497,165.479,-0.463140,-0.003015,0.152264,0.480,6.748519,6.447234,164.999,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":6.28512,""y"":0.0561299,""z"":-6.29497,""yaw_deg"":165.479},""candidates"":[{""keyframe_id"":335,""distance"":0,""yaw_deg"":148,""x"":6.28512,""y"":0.0561299},{""keyframe_id"":367,""distance"":0,""yaw_deg"":148,""x"":11.5884,""y"":-0.0810282},{""keyframe_id"":31,""distance"":0,""yaw_deg"":148,""x"":-0.0522957,""y"":-0.0178208},{""keyframe_id"":27,""distance"":0,""yaw_deg"":148,""x"":0.182214,""y"":-0.0158857},{""keyframe_id"":66,""distance"":0,""yaw_deg"":148,""x"":0.27679,""y"":-0.0152098}]}"
1779713712.630443,1779710000.0,False,55,0,0.097867,-2.55298,0.109562,-2.39108,178.415,0.076696,-0.002705,-0.021761,-0.005,2.632071,2.369319,178.420,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0.097867,""best_pose"":{""x"":-2.55298,""y"":0.109562,""z"":-2.39108,""yaw_deg"":178.415},""candidates"":[{""keyframe_id"":55,""distance"":0,""yaw_deg"":140,""x"":0.41815,""y"":-0.0214308},{""keyframe_id"":28,""distance"":0,""yaw_deg"":148,""x"":0.169911,""y"":-0.0144486},{""keyframe_id"":27,""distance"":0,""yaw_deg"":148,""x"":0.182214,""y"":-0.0158857},{""keyframe_id"":26,""distance"":0,""yaw_deg"":148,""x"":0.13771,""y"":-0.0112318},{""keyframe_id"":25,""distance"":1.23978e-05,""yaw_deg"":140,""x"":0.0743368,""y"":-0.00741974}]}"
