sample_index,stamp,odom_nearest_waypoint,odom_nearest_waypoint_dist,sc_nearest_waypoint,sc_odom_error,sc_distance,conservative_success,global_published,global_success,global_wrong,global_error,global_count,global_nearest_waypoint
0,1778847466.269,点位1,0.0308,点位1,0.0024,0.0013,True,False,False,False,inf,0,
1,1778847468.469,点位1,0.0305,点位1,0.0014,0.0011,True,False,False,False,inf,0,
2,1778847470.569,点位1,0.0315,点位1,0.0046,0.0014,True,False,False,False,inf,0,
3,1778847472.769,点位1,0.0315,点位1,0.0025,0.001,True,False,False,False,inf,0,
4,1778847474.969,点位1,0.0315,点位1,0.0004,0.0023,True,False,False,False,inf,0,
5,1778847477.069,点位1,0.0305,点位1,0.0056,0.0015,True,False,False,False,inf,0,
6,1778847479.269,点位1,0.0311,点位1,0.0049,0.0016,True,False,False,False,inf,0,
7,1778847481.369,点位1,0.0331,点位1,0.0025,0.001,True,False,False,False,inf,0,
8,1778847483.469,点位1,0.0335,点位1,0.0032,0.0006,True,False,False,False,inf,0,
9,1778847485.569,点位1,0.0361,点位1,0.0007,0.0007,True,False,False,False,inf,0,
10,1778847488.174,点位1,0.0294,点位1,0.0036,0.0102,True,False,False,False,inf,0,
11,1778847490.369,点位1,0.0299,点位1,0.0022,0.0032,True,False,False,False,inf,0,
12,1778847492.369,点位1,0.0318,点位1,0.0016,0.0007,True,False,False,False,inf,0,
13,1778847494.57,点位1,0.0303,点位1,0.0042,0.001,True,False,False,False,inf,0,
14,1778847496.87,点位1,0.0291,点位1,0.0053,0.0015,True,False,False,False,inf,0,
15,1778847498.869,点位1,0.0329,点位1,0.0003,0.0013,True,False,False,False,inf,0,
16,1778847500.97,点位1,0.032,点位1,0.0046,0.0015,True,False,False,False,inf,0,
17,1778847503.174,点位1,0.0337,点位1,0.0031,0.0142,True,False,False,False,inf,0,
18,1778847505.27,点位1,0.0342,点位1,0.0042,0.001,True,False,False,False,inf,0,
19,1778847507.37,点位1,0.033,点位1,0.0024,0.0009,True,False,False,False,inf,0,
20,1778847509.37,点位1,0.0359,点位1,0.0032,0.0006,True,False,False,False,inf,0,
21,1778847511.47,点位1,0.0353,点位1,0.0017,0.0014,True,False,False,False,inf,0,
22,1778847513.47,点位1,0.0366,点位1,0.0007,0.0007,True,False,False,False,inf,0,
23,1778847515.47,点位1,0.0343,点位1,0.0082,0.0175,True,False,False,False,inf,0,
24,1778847517.97,点位1,0.1196,点位1,0.2991,0.0325,True,False,False,False,inf,0,
25,1778847520.37,点位1,0.2056,点位1,0.3712,0.0193,True,False,False,False,inf,0,
26,1778847522.37,点位1,0.3037,点位1,0.2874,0.1109,True,False,False,False,inf,0,
27,1778847524.47,点位1,0.4229,点位1,0.8949,0.0708,True,False,False,False,inf,0,
28,1778847526.67,点位1,0.5256,点位1,0.493,0.1611,True,False,False,False,inf,0,
29,1778847528.77,点位1,0.6076,点位1,0.4152,0.0918,True,False,False,False,inf,0,
30,1778847531.07,点位1,0.7396,点位1,0.3492,0.052,True,False,False,False,inf,0,
31,1778847533.175,点位1,0.8315,点位1,0.5224,0.3358,False,False,False,False,inf,0,
32,1778847535.175,点位1,0.9042,点位1,0.6596,0.3883,False,False,False,False,inf,0,
33,1778847537.175,点位1,0.931,点位1,0.9861,0.3524,False,True,True,False,0.5513464538946651,3,点位1
34,1778847539.37,点位1,0.9144,点位1,0.1907,0.2432,True,False,False,False,inf,0,
35,1778847541.47,点位1,0.9497,点位1,0.3455,0.2701,False,True,True,False,0.6558479077690192,4,点位1
36,1778847543.671,点位1,0.9709,点位1,0.6869,0.2973,False,True,True,False,0.6012890985208362,5,点位1
37,1778847545.77,点位1,0.9999,点位1,0.3515,0.235,True,False,False,False,inf,0,
38,1778847547.97,点位1,0.9937,点位1,0.3899,0.2317,True,False,False,False,inf,0,
39,1778847550.07,点位1,0.9741,点位1,0.384,0.2065,True,False,False,False,inf,0,
40,1778847552.371,点位1,0.9614,点位1,0.3898,0.1932,True,False,False,False,inf,0,
41,1778847554.671,点位1,0.9489,点位1,0.5684,0.2326,True,False,False,False,inf,0,
