waypoint,samples,conservative_success,global_additional_success,total_success,global_wrong_publish,no_publish
点位1,112,102,7,109,1,2
点位2,7,0,2,2,5,0
点位3,5,0,0,0,0,5
点位4,5,0,0,0,5,0
点位6,4,0,0,0,4,0
点位7,31,28,0,28,3,0
点位8,2,0,0,0,1,1
点位9,1,1,0,1,0,0
点位10,12,11,1,12,0,0
点位11,28,20,1,21,0,7
点位12,7,1,0,1,4,2
点位13,81,72,3,75,5,1
点位14,21,14,0,14,5,2
点位15,6,0,0,0,5,1
点位16,15,9,2,11,1,3
点位17,6,2,0,2,4,0
点位18,3,0,0,0,3,0
点位19,14,0,0,0,6,8
点位20,3,0,0,0,2,1
点位21,40,21,2,23,1,16
点位22,43,37,4,41,0,2
点位23,14,7,0,7,1,6
